trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,FALSE,"{'a': 0.3, 'e': 0.85}",30,0,-89.58289365,"{0: 22, 1: 2, 2: 3, 3: 2, 4: 1}",0
2,FALSE,"{'a': 0.3, 'e': 0.7999999999999999}",25,0,-211.5868748,"{0: 14, 1: 1, 2: 5, 3: 2, 4: 3}",0
3,FALSE,"{'a': 0.3, 'e': 0.7499999999999999}",25,5,-104.8115367,"{0: 10, 1: 4, 2: 4, 3: 1, 4: 1}",1
4,FALSE,"{'a': 0.3, 'e': 0.6999999999999998}",25,0,-64.8881149,"{0: 20, 1: 1, 2: 2, 3: 1, 4: 1}",0
5,FALSE,"{'a': 0.3, 'e': 0.6499999999999998}",25,0,-190.1049346,"{0: 12, 1: 3, 2: 6, 3: 2, 4: 2}",0
6,FALSE,"{'a': 0.3, 'e': 0.5999999999999998}",20,10,-4.599273653,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
7,FALSE,"{'a': 0.3, 'e': 0.5499999999999997}",35,0,-142.1969628,"{0: 27, 1: 0, 2: 5, 3: 0, 4: 3}",0
8,FALSE,"{'a': 0.3, 'e': 0.4999999999999997}",20,0,-21.81715632,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
9,FALSE,"{'a': 0.3, 'e': 0.44999999999999973}",20,0,-77.34116446,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
10,FALSE,"{'a': 0.3, 'e': 0.39999999999999974}",25,13,-1.576102287,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
11,FALSE,"{'a': 0.3, 'e': 0.34999999999999976}",25,10,-77.58478634,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 2}",1
12,FALSE,"{'a': 0.3, 'e': 0.29999999999999977}",20,0,-23.02222109,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
13,FALSE,"{'a': 0.3, 'e': 0.24999999999999978}",20,10,-55.42333766,"{0: 7, 1: 0, 2: 1, 3: 1, 4: 1}",1
14,FALSE,"{'a': 0.3, 'e': 0.1999999999999998}",25,13,-7.461239163,"{0: 10, 1: 1, 2: 0, 3: 1, 4: 0}",1
15,FALSE,"{'a': 0.3, 'e': 0.1499999999999998}",20,0,-23.86280916,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
16,FALSE,"{'a': 0.3, 'e': 0.0999999999999998}",20,0,26.53209192,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
17,FALSE,"{'a': 0.3, 'e': 0.049999999999999795}",20,0,-29.47949606,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
18,FALSE,"{'a': 0.3, 'e': -2.0816681711721685e-16}",20,6,-67.65208886,"{0: 10, 1: 1, 2: 0, 3: 2, 4: 1}",1
19,FALSE,"{'a': 0.3, 'e': -0.05000000000000021}",20,15,-1.690429814,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
20,FALSE,"{'a': 0.3, 'e': -0.10000000000000021}",25,0,-109.7150589,"{0: 20, 1: 0, 2: 2, 3: 0, 4: 3}",0
1,TRUE,"{'a': 0, 'e': 0}",25,8,17.7574557,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
2,TRUE,"{'a': 0, 'e': 0}",30,0,-32.61119148,"{0: 26, 1: 0, 2: 2, 3: 2, 4: 0}",0
3,TRUE,"{'a': 0, 'e': 0}",20,11,15.92435145,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,TRUE,"{'a': 0, 'e': 0}",20,0,9.429942111,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
5,TRUE,"{'a': 0, 'e': 0}",25,14,-23.84352201,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
6,TRUE,"{'a': 0, 'e': 0}",25,0,-75.48823126,"{0: 19, 1: 0, 2: 4, 3: 1, 4: 1}",0
7,TRUE,"{'a': 0, 'e': 0}",20,14,8.347315769,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,TRUE,"{'a': 0, 'e': 0}",25,10,4.96786175,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
9,TRUE,"{'a': 0, 'e': 0}",25,0,-181.6236583,"{0: 18, 1: 0, 2: 2, 3: 1, 4: 4}",0
10,TRUE,"{'a': 0, 'e': 0}",20,16,4.948993538,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
