trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,FALSE,"{'a': 0.01, 'e': 0.9900498337491681}",25,0,-91.22297024,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 1}",0
2,FALSE,"{'a': 0.01, 'e': 0.9801986733067553}",20,0,-113.7370713,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
3,FALSE,"{'a': 0.01, 'e': 0.9704455335485082}",20,0,-171.8360927,"{0: 9, 1: 0, 2: 8, 3: 1, 4: 2}",0
4,FALSE,"{'a': 0.01, 'e': 0.9607894391523232}",25,14,-49.96896052,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 1}",1
5,FALSE,"{'a': 0.01, 'e': 0.951229424500714}",20,0,-119.3540402,"{0: 11, 1: 2, 2: 4, 3: 2, 4: 1}",0
6,FALSE,"{'a': 0.01, 'e': 0.9417645335842487}",30,12,-18.76313831,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 0}",1
7,FALSE,"{'a': 0.01, 'e': 0.9323938199059483}",20,12,-22.52737622,"{0: 5, 1: 0, 2: 3, 3: 0, 4: 0}",1
8,FALSE,"{'a': 0.01, 'e': 0.9231163463866358}",20,4,-138.3022929,"{0: 9, 1: 2, 2: 2, 3: 0, 4: 3}",1
9,FALSE,"{'a': 0.01, 'e': 0.9139311852712282}",20,0,-46.90438524,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
10,FALSE,"{'a': 0.01, 'e': 0.9048374180359595}",20,0,-206.7101055,"{0: 9, 1: 1, 2: 5, 3: 2, 4: 3}",0
11,FALSE,"{'a': 0.01, 'e': 0.8958341352965282}",20,0,-166.4113999,"{0: 12, 1: 2, 2: 1, 3: 2, 4: 3}",0
12,FALSE,"{'a': 0.01, 'e': 0.8869204367171575}",20,0,-55.15824435,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
13,FALSE,"{'a': 0.01, 'e': 0.8780954309205613}",30,18,-34.89975238,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
14,FALSE,"{'a': 0.01, 'e': 0.8693582353988059}",20,0,-218.4058615,"{0: 7, 1: 1, 2: 8, 3: 1, 4: 3}",0
15,FALSE,"{'a': 0.01, 'e': 0.8607079764250578}",35,0,-110.4570711,"{0: 24, 1: 4, 2: 4, 3: 2, 4: 1}",0
16,FALSE,"{'a': 0.01, 'e': 0.8521437889662113}",25,9,-125.2017797,"{0: 10, 1: 2, 2: 1, 3: 0, 4: 3}",1
17,FALSE,"{'a': 0.01, 'e': 0.8436648165963837}",30,0,-175.1697824,"{0: 18, 1: 4, 2: 4, 3: 1, 4: 3}",0
18,FALSE,"{'a': 0.01, 'e': 0.835270211411272}",30,14,-13.32460164,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 0}",1
19,FALSE,"{'a': 0.01, 'e': 0.8269591339433623}",25,0,-88.24818858,"{0: 14, 1: 1, 2: 10, 3: 0, 4: 0}",0
20,FALSE,"{'a': 0.01, 'e': 0.8187307530779818}",20,0,-80.03273558,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
21,FALSE,"{'a': 0.01, 'e': 0.8105842459701871}",25,10,-46.01566366,"{0: 11, 1: 0, 2: 2, 3: 2, 4: 0}",1
22,FALSE,"{'a': 0.01, 'e': 0.8025187979624785}",20,0,-231.5978506,"{0: 8, 1: 1, 2: 4, 3: 4, 4: 3}",0
23,FALSE,"{'a': 0.01, 'e': 0.794533602503334}",25,0,-89.40774666,"{0: 15, 1: 6, 2: 2, 3: 1, 4: 1}",0
24,FALSE,"{'a': 0.01, 'e': 0.7866278610665535}",30,0,-272.8695268,"{0: 17, 1: 0, 2: 5, 3: 4, 4: 4}",0
25,FALSE,"{'a': 0.01, 'e': 0.7788007830714049}",20,0,-35.81249216,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
26,FALSE,"{'a': 0.01, 'e': 0.7710515858035663}",30,0,-120.1242683,"{0: 18, 1: 4, 2: 6, 3: 1, 4: 1}",0
27,FALSE,"{'a': 0.01, 'e': 0.7633794943368531}",20,8,-33.05533798,"{0: 7, 1: 1, 2: 4, 3: 0, 4: 0}",1
28,FALSE,"{'a': 0.01, 'e': 0.7557837414557255}",25,5,-108.8354424,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",1
29,FALSE,"{'a': 0.01, 'e': 0.7482635675785653}",25,0,-19.64186031,"{0: 19, 1: 3, 2: 3, 3: 0, 4: 0}",0
30,FALSE,"{'a': 0.01, 'e': 0.7408182206817179}",25,3,-23.8463275,"{0: 19, 1: 1, 2: 1, 3: 0, 4: 1}",1
31,FALSE,"{'a': 0.01, 'e': 0.7334469562242892}",25,0,-18.6829324,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",0
32,FALSE,"{'a': 0.01, 'e': 0.7261490370736909}",20,0,-200.9536601,"{0: 12, 1: 1, 2: 1, 3: 2, 4: 4}",0
33,FALSE,"{'a': 0.01, 'e': 0.7189237334319262}",25,0,-120.0849478,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
34,FALSE,"{'a': 0.01, 'e': 0.7117703227626097}",30,0,-181.655623,"{0: 21, 1: 1, 2: 3, 3: 1, 4: 4}",0
35,FALSE,"{'a': 0.01, 'e': 0.7046880897187134}",25,0,-98.63616022,"{0: 15, 1: 5, 2: 3, 3: 1, 4: 1}",0
36,FALSE,"{'a': 0.01, 'e': 0.697676326071031}",20,0,1.693379386,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
37,FALSE,"{'a': 0.01, 'e': 0.6907343306373547}",25,12,-4.501448095,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
38,FALSE,"{'a': 0.01, 'e': 0.6838614092123558}",20,0,-35.79176494,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",1
39,FALSE,"{'a': 0.01, 'e': 0.6770568744981647}",25,5,-37.51709582,"{0: 16, 1: 0, 2: 2, 3: 2, 4: 0}",1
40,FALSE,"{'a': 0.01, 'e': 0.6703200460356393}",20,6,11.01283423,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
41,FALSE,"{'a': 0.01, 'e': 0.6636502501363194}",20,0,-4.345269823,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
42,FALSE,"{'a': 0.01, 'e': 0.6570468198150567}",20,0,-52.92135328,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
43,FALSE,"{'a': 0.01, 'e': 0.6505090947233165}",20,0,-55.67849437,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
44,FALSE,"{'a': 0.01, 'e': 0.6440364210831414}",25,0,-91.25972571,"{0: 18, 1: 0, 2: 5, 3: 1, 4: 1}",0
45,FALSE,"{'a': 0.01, 'e': 0.6376281516217733}",30,13,-36.96479007,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 1}",1
46,FALSE,"{'a': 0.01, 'e': 0.631283645506926}",25,0,-31.26588353,"{0: 19, 1: 0, 2: 6, 3: 0, 4: 0}",0
47,FALSE,"{'a': 0.01, 'e': 0.6250022682827008}",25,0,-177.623718,"{0: 16, 1: 1, 2: 4, 3: 0, 4: 4}",0
48,FALSE,"{'a': 0.01, 'e': 0.6187833918061408}",25,0,-75.27559803,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 2}",0
49,FALSE,"{'a': 0.01, 'e': 0.6126263941844161}",20,0,-32.107684,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
50,FALSE,"{'a': 0.01, 'e': 0.6065306597126334}",25,0,-78.28002801,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
51,FALSE,"{'a': 0.01, 'e': 0.6004955788122659}",25,12,-45.4175792,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 1}",1
52,FALSE,"{'a': 0.01, 'e': 0.5945205479701944}",20,0,-14.56744534,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
53,FALSE,"{'a': 0.01, 'e': 0.5886049696783552}",20,0,-110.2250402,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
54,FALSE,"{'a': 0.01, 'e': 0.5827482523739896}",20,0,-95.5955664,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
55,FALSE,"{'a': 0.01, 'e': 0.5769498103804866}",25,6,-6.903052977,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 0}",1
56,FALSE,"{'a': 0.01, 'e': 0.5712090638488149}",20,0,-20.07179795,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
57,FALSE,"{'a': 0.01, 'e': 0.5655254386995371}",25,0,-120.1999403,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 2}",0
58,FALSE,"{'a': 0.01, 'e': 0.559898366565402}",20,0,-2.222242976,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
59,FALSE,"{'a': 0.01, 'e': 0.5543272847345071}",20,0,-261.9127053,"{0: 7, 1: 1, 2: 5, 3: 3, 4: 4}",0
60,FALSE,"{'a': 0.01, 'e': 0.5488116360940265}",25,18,-50.41426627,"{0: 5, 1: 0, 2: 0, 3: 1, 4: 1}",1
61,FALSE,"{'a': 0.01, 'e': 0.5433508690744998}",30,1,-148.9327561,"{0: 21, 1: 3, 2: 1, 3: 0, 4: 4}",1
62,FALSE,"{'a': 0.01, 'e': 0.5379444375946745}",25,0,-55.42678588,"{0: 20, 1: 1, 2: 1, 3: 3, 4: 0}",0
63,FALSE,"{'a': 0.01, 'e': 0.5325918010068972}",30,0,-131.8575554,"{0: 23, 1: 0, 2: 4, 3: 0, 4: 3}",0
64,FALSE,"{'a': 0.01, 'e': 0.5272924240430485}",20,8,-25.15944516,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
65,FALSE,"{'a': 0.01, 'e': 0.522045776761016}",25,0,-83.90128298,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 1}",0
66,FALSE,"{'a': 0.01, 'e': 0.5168513344916992}",20,12,-27.01225529,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
67,FALSE,"{'a': 0.01, 'e': 0.5117085777865424}",25,16,-12.2555515,"{0: 7, 1: 1, 2: 0, 3: 1, 4: 0}",1
68,FALSE,"{'a': 0.01, 'e': 0.5066169923655895}",20,0,3.554333673,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
69,FALSE,"{'a': 0.01, 'e': 0.5015760690660555}",25,0,-42.22447138,"{0: 20, 1: 3, 2: 1, 3: 0, 4: 1}",0
70,FALSE,"{'a': 0.01, 'e': 0.49658530379140947}",20,2,-68.09812637,"{0: 13, 1: 0, 2: 3, 3: 1, 4: 1}",1
71,FALSE,"{'a': 0.01, 'e': 0.4916441974609651}",25,7,12.61818059,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 0}",1
72,FALSE,"{'a': 0.01, 'e': 0.4867522559599717}",20,11,-11.64750224,"{0: 6, 1: 1, 2: 2, 3: 0, 4: 0}",1
73,FALSE,"{'a': 0.01, 'e': 0.48190899009020244}",20,0,4.499954694,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
74,FALSE,"{'a': 0.01, 'e': 0.4771139155210344}",25,0,-120.0270861,"{0: 20, 1: 1, 2: 0, 3: 1, 4: 3}",0
75,FALSE,"{'a': 0.01, 'e': 0.4723665527410147}",20,2,10.59137049,"{0: 16, 1: 2, 2: 0, 3: 0, 4: 0}",1
76,FALSE,"{'a': 0.01, 'e': 0.46766642700990924}",30,2,-115.5167593,"{0: 19, 1: 1, 2: 5, 3: 2, 4: 1}",1
77,FALSE,"{'a': 0.01, 'e': 0.46301306831122807}",25,8,-4.836527636,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 0}",1
78,FALSE,"{'a': 0.01, 'e': 0.4584060113052235}",25,9,-12.05605608,"{0: 13, 1: 0, 2: 2, 3: 1, 4: 0}",1
79,FALSE,"{'a': 0.01, 'e': 0.45384479528235583}",30,18,-66.05345721,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 2}",1
80,FALSE,"{'a': 0.01, 'e': 0.44932896411722156}",25,10,10.25025622,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
81,FALSE,"{'a': 0.01, 'e': 0.4448580662229411}",20,10,-24.65441441,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
82,FALSE,"{'a': 0.01, 'e': 0.44043165450599925}",20,11,3.585101679,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
83,FALSE,"{'a': 0.01, 'e': 0.43604928632153556}",20,16,4.970985692,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
84,FALSE,"{'a': 0.01, 'e': 0.43171052342907973}",20,0,-124.3368703,"{0: 13, 1: 2, 2: 1, 3: 2, 4: 2}",0
85,FALSE,"{'a': 0.01, 'e': 0.4274149319487267}",30,0,-84.96029749,"{0: 23, 1: 2, 2: 3, 3: 0, 4: 2}",0
86,FALSE,"{'a': 0.01, 'e': 0.4231620823177488}",25,0,-35.22185973,"{0: 23, 1: 0, 2: 0, 3: 1, 4: 1}",0
87,FALSE,"{'a': 0.01, 'e': 0.418951549247639}",30,15,26.30400303,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
88,FALSE,"{'a': 0.01, 'e': 0.4147829116815814}",25,8,21.14977794,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
89,FALSE,"{'a': 0.01, 'e': 0.4106557527523455}",25,13,-16.067221,"{0: 10, 1: 0, 2: 1, 3: 1, 4: 0}",1
90,FALSE,"{'a': 0.01, 'e': 0.4065696597405991}",20,6,16.16389585,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
91,FALSE,"{'a': 0.01, 'e': 0.40252422403363597}",20,12,-36.7058814,"{0: 5, 1: 1, 2: 0, 3: 2, 4: 0}",1
92,FALSE,"{'a': 0.01, 'e': 0.39851904108451414}",25,0,-55.49336213,"{0: 18, 1: 0, 2: 6, 3: 1, 4: 0}",0
93,FALSE,"{'a': 0.01, 'e': 0.3945537103716011}",20,0,-81.52275915,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
94,FALSE,"{'a': 0.01, 'e': 0.3906278353585211}",25,0,-55.10757821,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 2}",0
95,FALSE,"{'a': 0.01, 'e': 0.3867410234545012}",20,11,-27.47089817,"{0: 7, 1: 0, 2: 0, 3: 2, 4: 0}",1
96,FALSE,"{'a': 0.01, 'e': 0.38289288597511206}",20,12,-9.989910292,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
97,FALSE,"{'a': 0.01, 'e': 0.37908303810339883}",25,0,10.14391645,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",0
98,FALSE,"{'a': 0.01, 'e': 0.37531109885139957}",20,0,-68.14322374,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
99,FALSE,"{'a': 0.01, 'e': 0.3715766910220457}",25,0,-118.754441,"{0: 18, 1: 1, 2: 2, 3: 2, 4: 2}",0
100,FALSE,"{'a': 0.01, 'e': 0.36787944117144233}",20,0,-22.19708167,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
101,FALSE,"{'a': 0.01, 'e': 0.3642189795715233}",20,16,4.804159208,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
102,FALSE,"{'a': 0.01, 'e': 0.3605949401730783}",20,9,-15.64959616,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 0}",1
