trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,FALSE,"{'a': 0.05, 'e': 0.9}",30,0,-97.85084393,"{0: 20, 1: 4, 2: 4, 3: 1, 4: 1}",0
2,FALSE,"{'a': 0.05, 'e': 0.81}",20,0,-79.11094346,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
3,FALSE,"{'a': 0.05, 'e': 0.7290000000000001}",20,0,-130.9268672,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
4,FALSE,"{'a': 0.05, 'e': 0.6561}",30,0,-131.10367,"{0: 13, 1: 7, 2: 9, 3: 1, 4: 0}",0
5,FALSE,"{'a': 0.05, 'e': 0.5904900000000001}",20,9,-121.5177667,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 3}",1
6,FALSE,"{'a': 0.05, 'e': 0.531441}",20,0,-158.5434514,"{0: 8, 1: 1, 2: 8, 3: 2, 4: 1}",0
7,FALSE,"{'a': 0.05, 'e': 0.4782969000000001}",20,0,-228.6404688,"{0: 9, 1: 1, 2: 5, 3: 1, 4: 4}",0
8,FALSE,"{'a': 0.05, 'e': 0.4304672100000001}",20,5,-80.20098281,"{0: 7, 1: 0, 2: 7, 3: 1, 4: 0}",1
9,FALSE,"{'a': 0.05, 'e': 0.3874204890000001}",20,0,-159.2763755,"{0: 10, 1: 0, 2: 7, 3: 1, 4: 2}",0
10,FALSE,"{'a': 0.05, 'e': 0.3486784401000001}",20,0,-57.09539749,"{0: 13, 1: 4, 2: 1, 3: 2, 4: 0}",0
11,FALSE,"{'a': 0.05, 'e': 0.31381059609000006}",20,0,-177.9059586,"{0: 9, 1: 1, 2: 6, 3: 2, 4: 2}",0
12,FALSE,"{'a': 0.05, 'e': 0.2824295364810001}",25,0,-107.1708186,"{0: 17, 1: 1, 2: 4, 3: 2, 4: 1}",0
13,FALSE,"{'a': 0.05, 'e': 0.2541865828329001}",30,0,-198.1602331,"{0: 16, 1: 3, 2: 6, 3: 3, 4: 2}",0
14,FALSE,"{'a': 0.05, 'e': 0.2287679245496101}",20,13,-13.47343578,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 0}",1
15,FALSE,"{'a': 0.05, 'e': 0.20589113209464907}",25,0,-194.6050503,"{0: 12, 1: 4, 2: 5, 3: 1, 4: 3}",0
16,FALSE,"{'a': 0.05, 'e': 0.18530201888518416}",20,0,-51.76361423,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
17,FALSE,"{'a': 0.05, 'e': 0.16677181699666577}",20,0,-72.71577353,"{0: 11, 1: 1, 2: 8, 3: 0, 4: 0}",0
18,FALSE,"{'a': 0.05, 'e': 0.15009463529699918}",30,9,-52.76769423,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 1}",1
19,FALSE,"{'a': 0.05, 'e': 0.13508517176729928}",25,0,-118.0050064,"{0: 19, 1: 1, 2: 2, 3: 0, 4: 3}",0
20,FALSE,"{'a': 0.05, 'e': 0.12157665459056935}",20,0,-222.4499627,"{0: 10, 1: 0, 2: 5, 3: 1, 4: 4}",0
1,TRUE,"{'a': 0, 'e': 0}",25,0,-90.47143597,"{0: 14, 1: 3, 2: 7, 3: 1, 4: 0}",0
2,TRUE,"{'a': 0, 'e': 0}",25,0,-1.155242671,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
3,TRUE,"{'a': 0, 'e': 0}",20,10,-60.52106626,"{0: 6, 1: 0, 2: 3, 3: 0, 4: 1}",1
4,TRUE,"{'a': 0, 'e': 0}",25,0,-115.9146737,"{0: 15, 1: 0, 2: 8, 3: 1, 4: 1}",0
5,TRUE,"{'a': 0, 'e': 0}",25,0,-117.8564844,"{0: 13, 1: 3, 2: 8, 3: 0, 4: 1}",0
6,TRUE,"{'a': 0, 'e': 0}",25,0,-30.44922012,"{0: 20, 1: 1, 2: 3, 3: 1, 4: 0}",0
7,TRUE,"{'a': 0, 'e': 0}",20,0,-40.52180142,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
8,TRUE,"{'a': 0, 'e': 0}",30,0,-120.5475356,"{0: 21, 1: 2, 2: 5, 3: 0, 4: 2}",0
9,TRUE,"{'a': 0, 'e': 0}",25,14,-59.01438329,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 1}",1
10,TRUE,"{'a': 0, 'e': 0}",30,0,-75.97307402,"{0: 22, 1: 3, 2: 4, 3: 0, 4: 1}",0
